clip_name,frame_number,gt_label,pred_label,correct,confidence,nan_fraction,latency_ms
Backward_fall,31,Standing,Unknown,False,0.773,0.0,1624.1913
Backward_fall,32,Standing,Unknown,False,0.765,0.0,226.123
Backward_fall,33,Standing,Unknown,False,0.757,0.0,209.7682
Backward_fall,34,Standing,Unknown,False,0.746,0.0,255.4169
Backward_fall,35,Standing,Unknown,False,0.733,0.0,241.7552
Backward_fall,36,,Unknown,,0.715,0.0,467.1755
Backward_fall,37,,Unknown,,0.7,0.0,244.2912
Backward_fall,38,,Unknown,,0.682,0.0,210.7146
Backward_fall,39,,Unknown,,0.666,0.0,202.381
Backward_fall,40,,Unknown,,0.653,0.0,210.8975
Backward_fall,41,,Unknown,,0.645,0.0,201.1746
Backward_fall,42,,Unknown,,0.64,0.0,197.2947
Backward_fall,43,,Unknown,,0.635,0.0,214.4024
Backward_fall,44,,Unknown,,0.632,0.0,208.9054
Backward_fall,45,,Unknown,,0.629,0.0,203.8436
Backward_fall,46,,Unknown,,0.626,0.0,214.2733
Backward_fall,47,,Unknown,,0.62,0.0,250.382
Backward_fall,48,,Unknown,,0.611,0.0,243.5314
Backward_fall,49,,Unknown,,0.593,0.0,222.6056
Backward_fall,50,,Unknown,,0.568,0.0,223.7219
Backward_fall,51,,Unknown,,0.537,0.0,226.3686
Backward_fall,52,,Unknown,,0.501,0.0,234.3093
Backward_fall,53,,Unknown,,0.455,0.0,245.6422
Backward_fall,54,,Unknown,,0.401,0.0,224.5275
Backward_fall,55,,Sitting,,0.36,0.0,259.0525
Backward_fall,56,,Sitting,,0.448,0.0,239.4591
Backward_fall,57,,Sitting,,0.535,0.0,215.0606
Backward_fall,58,,Sitting,,0.611,0.0,374.3239
Backward_fall,59,,Sitting,,0.675,0.0,251.6983
Backward_fall,60,,Sitting,,0.725,0.0,203.5572
Backward_fall,61,,Sitting,,0.765,0.0,217.6397
Backward_fall,62,,Sitting,,0.8,0.0,218.7405
Backward_fall,63,,Sitting,,0.83,0.0,209.3127
Backward_fall,64,,Sitting,,0.845,0.0,216.8033
Backward_fall,65,,Sitting,,0.866,0.0,173.5852
Backward_fall,66,,Sitting,,0.885,0.0,181.4428
Backward_fall,67,,Sitting,,0.896,0.0,171.8596
Backward_fall,68,,Sitting,,0.906,0.0,199.4581
Backward_fall,69,Lying,Sitting,False,0.912,0.0,197.6792
Backward_fall,70,Lying,Sitting,False,0.914,0.0,185.8172
Backward_fall,71,Lying,Sitting,False,0.919,0.0,184.536
Backward_fall,72,Lying,Sitting,False,0.919,0.0,183.8394
Backward_fall,73,Lying,Sitting,False,0.92,0.0,181.6372
Backward_fall,74,Lying,Sitting,False,0.921,0.0,184.9407
Backward_fall,75,Lying,Sitting,False,0.919,0.0,199.8023
Backward_fall,76,Lying,Sitting,False,0.912,0.0,205.0606
Backward_fall,77,Lying,Sitting,False,0.909,0.0,241.638
Backward_fall,78,Lying,Sitting,False,0.903,0.0,221.5424
Backward_fall,79,Lying,Sitting,False,0.889,0.0,335.8878
Backward_fall,80,Lying,Sitting,False,0.873,0.0,280.4407
Backward_fall,81,Lying,Sitting,False,0.851,0.0,305.8018
Backward_fall,82,Lying,Sitting,False,0.835,0.0,239.6289
Backward_fall,83,Lying,Sitting,False,0.809,0.0,203.0289
Backward_fall,84,Lying,Sitting,False,0.771,0.0,205.7599
Backward_fall,85,Lying,Sitting,False,0.76,0.0,218.7965
Backward_fall,86,Lying,Sitting,False,0.739,0.0,230.2844
Backward_fall,87,Lying,Sitting,False,0.722,0.0,259.5455
Backward_fall,88,Lying,Sitting,False,0.719,0.0,198.9947
Backward_fall,89,Lying,Sitting,False,0.712,0.0,198.9865
Backward_fall,90,Lying,Sitting,False,0.708,0.0,169.479
Backward_fall,91,Lying,Sitting,False,0.7,0.0,162.1583
Backward_fall,92,Lying,Sitting,False,0.684,0.0,182.5748
Backward_fall,93,Lying,Sitting,False,0.686,0.0,186.203
Backward_fall,94,Lying,Sitting,False,0.698,0.0,185.1898
Backward_fall,95,Lying,Sitting,False,0.698,0.0,170.2711
Backward_fall,96,Lying,Sitting,False,0.679,0.0,152.9142
Backward_fall,97,Lying,Sitting,False,0.655,0.0,170.3821
Backward_fall,98,Lying,Sitting,False,0.632,0.0,210.7695
Backward_fall,99,Lying,Sitting,False,0.662,0.0,171.7391
Backward_fall,100,Lying,Sitting,False,0.62,1.0,213.6783
Backward_fall,101,Lying,Sitting,False,0.571,0.0,199.883
Backward_fall,102,Lying,Sitting,False,0.556,0.0,152.347
Backward_fall,103,Lying,Sitting,False,0.53,0.0,156.161
Backward_fall,104,Lying,Sitting,False,0.499,0.0,156.6316
Backward_fall,105,Lying,Sitting,False,0.478,1.0,149.0757
Backward_fall,106,Lying,Sitting,False,0.459,1.0,166.1972
Backward_fall,107,Lying,Sitting,False,0.399,0.0,171.9028
Backward_fall,108,Lying,Sitting,False,0.372,0.0,199.205
Backward_fall,109,Lying,Lying,True,0.38,0.0,192.8531
Backward_fall,110,Lying,Lying,True,0.456,0.0,198.2348
Backward_fall,111,Lying,Lying,True,0.511,0.0,206.5828
Chair_fall,31,Sitting,Lying,False,0.689,1.0,183.4412
Chair_fall,32,Sitting,Lying,False,0.689,1.0,229.0523
Chair_fall,33,Sitting,Lying,False,0.689,1.0,204.865
Chair_fall,34,Sitting,Lying,False,0.689,1.0,226.1893
Chair_fall,35,Sitting,Lying,False,0.689,1.0,204.9629
Chair_fall,36,Sitting,Lying,False,0.689,1.0,209.8633
Chair_fall,37,Sitting,Lying,False,0.689,1.0,202.147
Chair_fall,38,Sitting,Lying,False,0.689,1.0,245.788
Chair_fall,39,Sitting,Lying,False,0.689,1.0,331.1622
Chair_fall,40,Sitting,Lying,False,0.675,0.0,237.3759
Chair_fall,41,Sitting,Lying,False,0.668,1.0,212.6823
Chair_fall,42,,Lying,,0.664,1.0,192.9815
Chair_fall,43,,Lying,,0.651,1.0,208.9663
Chair_fall,44,,Lying,,0.635,0.0,201.9019
Chair_fall,45,,Lying,,0.622,0.0,201.599
Chair_fall,46,,Lying,,0.615,0.0,238.0589
Chair_fall,47,,Lying,,0.617,0.0,248.1812
Chair_fall,48,,Lying,,0.619,0.0,226.5856
Chair_fall,49,,Lying,,0.625,0.0,213.6599
Chair_fall,50,,Lying,,0.643,0.0,179.0878
Chair_fall,51,,Lying,,0.655,0.0,164.8005
Chair_fall,52,,Lying,,0.667,0.0,199.1191
Chair_fall,53,,Lying,,0.678,0.0,177.9308
Chair_fall,54,,Lying,,0.696,0.0,176.5061
Chair_fall,55,,Lying,,0.701,0.0,179.6725
Chair_fall,56,,Lying,,0.693,0.0,185.2457
Chair_fall,57,,Lying,,0.69,0.0,169.6567
Chair_fall,58,,Lying,,0.685,0.0,183.3859
Chair_fall,59,,Lying,,0.666,0.0,198.2564
Chair_fall,60,,Lying,,0.626,0.0,182.3848
Chair_fall,61,,Lying,,0.577,0.0,186.7248
Chair_fall,62,,Lying,,0.523,0.0,158.8991
Chair_fall,63,,Lying,,0.452,0.0,173.9632
Chair_fall,64,,Lying,,0.392,0.0,208.8898
Chair_fall,65,,Lying,,0.48,0.0,177.0098
Chair_fall,66,,Lying,,0.537,0.0,194.6908
Chair_fall,67,,Lying,,0.674,0.0,162.3963
Chair_fall,68,,Lying,,0.756,0.0,199.4301
Chair_fall,69,,Lying,,0.834,0.0,194.6004
